"Parameter","OutputFactor","Estimate","CI","OutputFactor","Estimate","CI","OutputFactor","Estimate","CI","OutputFactor","Estimate","CI","OutputFactor","Estimate","CI","OutputFactor","Estimate","CI"
"q","Extinction.Day",0.68,"[0.65, 0.714]*","Mean.Annual.Seroprevalence",0.886,"[0.875, 0.898]*","Get.Prop.Infected.Eggs_last_day",0.932,"[0.926, 0.937]*","Get.Mean.Outbreak.lengths.MosqYear",0.625,"[0.596, 0.658]*","Get.Mean.Outbreak.Size.MosqYear",0.779,"[0.758, 0.802]*","Max.Outbreak.Size.MosqYear",0.46,"[0.427, 0.492]*"
"biteA","Extinction.Day",0.48,"[0.448, 0.516]*","Mean.Annual.Seroprevalence",0.83,"[0.814, 0.846]*","Get.Prop.Infected.Eggs_last_day",0.658,"[0.63, 0.679]*","Get.Mean.Outbreak.lengths.MosqYear",0.496,"[0.459, 0.535]*","Get.Mean.Outbreak.Size.MosqYear",0.721,"[0.697, 0.748]*","Max.Outbreak.Size.MosqYear",0.494,"[0.46, 0.532]*"
"Tsla","Extinction.Day",0.326,"[0.285, 0.363]*","Mean.Annual.Seroprevalence",0.692,"[0.668, 0.725]*","Get.Prop.Infected.Eggs_last_day",0.387,"[0.351, 0.428]*","Get.Mean.Outbreak.lengths.MosqYear",0.351,"[0.306, 0.398]*","Get.Mean.Outbreak.Size.MosqYear",0.567,"[0.528, 0.6]*","Max.Outbreak.Size.MosqYear",0.38,"[0.34, 0.424]*"
"Tasl","Extinction.Day",0.169,"[0.128, 0.214]*","Mean.Annual.Seroprevalence",0.47,"[0.431, 0.512]*","Get.Prop.Infected.Eggs_last_day",0.409,"[0.371, 0.449]*","Get.Mean.Outbreak.lengths.MosqYear",0.165,"[0.121, 0.213]*","Get.Mean.Outbreak.Size.MosqYear",0.325,"[0.281, 0.37]*","Max.Outbreak.Size.MosqYear",0.156,"[0.11, 0.197]*"
"muA","Extinction.Day",-0.515,"[-0.549, -0.482]*","Mean.Annual.Seroprevalence",-0.851,"[-0.866, -0.838]*","Get.Prop.Infected.Eggs_last_day",-0.659,"[-0.683, -0.633]*","Get.Mean.Outbreak.lengths.MosqYear",-0.582,"[-0.616, -0.553]*","Get.Mean.Outbreak.Size.MosqYear",-0.713,"[-0.74, -0.687]*","Max.Outbreak.Size.MosqYear",-0.509,"[-0.542, -0.475]*"
"epsilon","Extinction.Day",0.063,"[0.014, 0.11]*","Mean.Annual.Seroprevalence",0.297,"[0.257, 0.342]*","Get.Prop.Infected.Eggs_last_day",0.208,"[0.166, 0.253]*","Get.Mean.Outbreak.lengths.MosqYear",0.067,"[0.025, 0.109]*","Get.Mean.Outbreak.Size.MosqYear",0.186,"[0.147, 0.237]*","Max.Outbreak.Size.MosqYear",0.152,"[0.106, 0.207]*"
"muAE","Extinction.Day",-0.015,"[-0.056, 0.037]","Mean.Annual.Seroprevalence",-0.006,"[-0.049, 0.046]","Get.Prop.Infected.Eggs_last_day",-0.033,"[-0.08, 0.015]","Get.Mean.Outbreak.lengths.MosqYear",-0.013,"[-0.062, 0.033]","Get.Mean.Outbreak.Size.MosqYear",0.002,"[-0.047, 0.051]","Max.Outbreak.Size.MosqYear",0.005,"[-0.042, 0.046]"
"biteC","Extinction.Day",-0.042,"[-0.084, -0.002]*","Mean.Annual.Seroprevalence",0.089,"[0.044, 0.135]*","Get.Prop.Infected.Eggs_last_day",-0.07,"[-0.121, -0.026]*","Get.Mean.Outbreak.lengths.MosqYear",0.008,"[-0.041, 0.055]","Get.Mean.Outbreak.Size.MosqYear",0.019,"[-0.033, 0.07]","Max.Outbreak.Size.MosqYear",0.209,"[0.172, 0.253]*"
"Tslc","Extinction.Day",-0.052,"[-0.098, -0.011]*","Mean.Annual.Seroprevalence",0.032,"[-0.018, 0.076]","Get.Prop.Infected.Eggs_last_day",-0.042,"[-0.084, 0.006]","Get.Mean.Outbreak.lengths.MosqYear",-0.027,"[-0.078, 0.026]","Get.Mean.Outbreak.Size.MosqYear",-0.013,"[-0.061, 0.031]","Max.Outbreak.Size.MosqYear",0.102,"[0.053, 0.15]*"
"Tcsl","Extinction.Day",-0.017,"[-0.059, 0.028]","Mean.Annual.Seroprevalence",0.048,"[-0.003, 0.094]","Get.Prop.Infected.Eggs_last_day",-0.067,"[-0.115, -0.014]*","Get.Mean.Outbreak.lengths.MosqYear",0.015,"[-0.033, 0.061]","Get.Mean.Outbreak.Size.MosqYear",0.02,"[-0.027, 0.066]","Max.Outbreak.Size.MosqYear",0.148,"[0.103, 0.191]*"
"muC","Extinction.Day",0.087,"[0.043, 0.133]*","Mean.Annual.Seroprevalence",-0.195,"[-0.242, -0.15]*","Get.Prop.Infected.Eggs_last_day",0.131,"[0.084, 0.177]*","Get.Mean.Outbreak.lengths.MosqYear",-0.055,"[-0.095, -0.015]*","Get.Mean.Outbreak.Size.MosqYear",-0.05,"[-0.099, 0.002]","Max.Outbreak.Size.MosqYear",-0.352,"[-0.394, -0.306]*"
"rhoS","Extinction.Day",-0.081,"[-0.134, -0.034]*","Mean.Annual.Seroprevalence",-0.112,"[-0.163, -0.061]*","Get.Prop.Infected.Eggs_last_day",-0.032,"[-0.076, 0.014]","Get.Mean.Outbreak.lengths.MosqYear",-0.085,"[-0.133, -0.038]*","Get.Mean.Outbreak.Size.MosqYear",-0.186,"[-0.233, -0.14]*","Max.Outbreak.Size.MosqYear",-0.143,"[-0.192, -0.099]*"
"rhoL","Extinction.Day",-0.157,"[-0.199, -0.118]*","Mean.Annual.Seroprevalence",-0.103,"[-0.148, -0.058]*","Get.Prop.Infected.Eggs_last_day",-0.038,"[-0.086, 0.005]","Get.Mean.Outbreak.lengths.MosqYear",-0.106,"[-0.15, -0.063]*","Get.Mean.Outbreak.Size.MosqYear",-0.171,"[-0.221, -0.13]*","Max.Outbreak.Size.MosqYear",-0.087,"[-0.128, -0.04]*"
"sigma_sl","Extinction.Day",-0.265,"[-0.313, -0.223]*","Mean.Annual.Seroprevalence",-0.422,"[-0.464, -0.385]*","Get.Prop.Infected.Eggs_last_day",-0.363,"[-0.411, -0.321]*","Get.Mean.Outbreak.lengths.MosqYear",-0.344,"[-0.392, -0.303]*","Get.Mean.Outbreak.Size.MosqYear",-0.142,"[-0.197, -0.089]*","Max.Outbreak.Size.MosqYear",-0.153,"[-0.196, -0.105]*"
